X,Y,OBJECTID,NAME,STREET,CITY,ZIP_CODE,STATE,PHONE,FAX_PHONE,MAILING_STREET,MAILING_CITY,MAILING_ZIP_CODE,MAILING_STATE,PHYSICAL_MAIL_DIFFERENCE,REGION,FOREST_NAME,DISTRICT_NAME,COUNTRY,LATITUDE,LONGITUDE,CONTACT,EQUIPMENT_ONLY,SEASONAL,WIRELESS_SITE,LOCATION_ID,SYS_CREATED_ON,SHAPE
-120.098742,37.822234,347755,Groveland Ranger District,24545 Hwy 120,Groveland,95321,CA,,,,,,,,Region 5,Stanislaus National Forest,Groveland Ranger District,USA,37.822234,-120.098742,,FALSE,FALSE,TRUE,F61A8F0866F6C2428E5DE900214F04A9,2017/12/14 09:46:34+00,
-123.386961,41.790479,347756,Happy Camp Ranger District-Happy Camp Helibase,64727 Airport Rd,Happy Camp,96039,CA,,,,,,,,Region 5,Klamath National Forest,Happy Camp-Oak Knoll Ranger District,USA,41.790479,-123.386961,,FALSE,FALSE,FALSE,E295427D97540945A9024DFB293DA19E,2017/12/14 09:46:34+00,
-117.151353,34.232545,347757,Heaps Peak Helibase,30100 Hwy 18,Running Springs,92382,CA,,,,,,,,Region 5,San Bernardino National Forest,,USA,34.232545,-117.151353,,FALSE,FALSE,FALSE,e91fcc5bdb822200b21075131f961986,2017/12/14 09:46:34+00,
-112.000409,41.199219,347758,Intermountain Aviation Facility,3515 Airport Rd,Ogden,84405,UT,,,,,,,,Region 4,,,USA,41.199219,-112.000409,,FALSE,FALSE,FALSE,14CAEF2DCBF75843BD57805377DB7C01,2018/01/30 13:27:28+00,
-105.152,39.744491,347759,Denver West Office Park,1617 Cole Blvd,Golden,80401,CO,,,,,,,,,,,,39.744491,-105.152,,FALSE,FALSE,FALSE,0334bb861b76fd906de587fce54bcba5,2023/11/30 19:04:07+00,
-97.743523,30.209464,347760,Austin Tele-Services Partners LP Headquarters,4209 S Industrial Dr Ste 300,Austin,78744,TX,,,,,,,,,,,,30.209464,-97.743523,,FALSE,FALSE,FALSE,0334bb861b76fd906de587fce54bcbc4,2023/11/30 19:04:08+00,
-71.507341,43.202369,347761,"EXACOM, Inc. Headquarters",99 Airport Rd,Concord,03301,NH,,,,,,,,,,,,43.202369,-71.507341,,FALSE,FALSE,FALSE,0344bf861b76fd906de587fce54bcbcb,2023/11/30 19:04:24+00,
-106.353368,37.678892,347762,Rio Grande National Forest Supervisors Office,"1055 9th St

",Del Norte,81132,CO,7196575017,,,,,,,Region 2,Rio Grande National Forest,,USA,37.678892,-106.353368,KENNA PACHECO,FALSE,FALSE,FALSE,0347233b1beb2990d65c63dbe54bcbcd,2023/06/27 16:12:54+00,
-93.10945,35.399683,347763,Poteau Ranger District-Dover Work Center,420 SR 164 E,Dover,72837,AR,,,,,,,,Region 8,Ouachita National Forest,Poteau Ranger District,USA,35.399683,-93.10945,,FALSE,FALSE,FALSE,9C407D9398EE9142AF12D8D6E4548B94,2017/12/14 09:46:38+00,
-114.712163,46.509824,347764,Powell Ranger District R1-MT,192 Powell Rd,Lolo,59847,MT,,,,,,,,Region 1,Nez Perce-Clearwater National Forests,Powell Ranger District,USA,46.509824,-114.712163,,FALSE,FALSE,TRUE,5C380679213621499BD42323BC27E137,2017/12/14 09:46:38+00,
-112.516484,34.595661,347765,Prescott National Forest-Willow Office,4000 Katahn Dr,Prescott,86305,AZ,,,,,,,,Region 3,Prescott National Forest,,USA,34.595661,-112.516484,,FALSE,FALSE,FALSE,9F889079006CEA4BBF913E17ECF2B257,2017/12/14 09:46:38+00,
-121.731837,38.541573,347766,PSW-Pacific Southwest Research Station-Davis CA,1731 Research Park Dr,Davis,95618,CA,,,,,,,,Pacific Southwest Research Station (PSWRS),,,USA,38.541573,-121.731837,,FALSE,FALSE,TRUE,51ED0CEDF1C5EF4DA177F0CD2C10F565,2017/12/14 09:46:38+00,
-112.081275,33.681915,347767,Recreation Solutions-Phoenix BLM Office,21605 N 7th Ave,Phoenix,85027,AZ,,,,,,,,Region 3,,,USA,33.681915,-112.081275,,FALSE,FALSE,FALSE,8851010785FEC1448251ACA16E2E729E,2017/12/14 09:46:38+00,
-106.645724,35.081221,347768,Region 3 Aviation & Fire Management,333 Broadway Blvd SE,Albuquerque,87102,NM,,,,,,,,Region 3,,,,,,,FALSE,FALSE,FALSE,17CFEB1AAF756649BAB874E340727004,2017/12/14 09:46:38+00,
-106.146906,38.089642,347769,Saguache Ranger District,46525 State Hwy 114,Saguache,81149,CO,(719) 655-2547,,,,,,,Region 2,Rio Grande National Forest,Saguache Ranger District,USA,38.089642,-106.146906,,FALSE,FALSE,TRUE,C0A5E429ED1AB7419CFAA8BDB0BA81D1,2017/12/14 09:46:39+00,
-123.004858,41.741526,347770,Salmon River & Scott River Ranger District-Scott Bar Station,27211 Scott River Rd,Scott Bar,96085,CA,,,,,,,,Region 5,Klamath National Forest,Salmon River & Scott River Ranger District,USA,41.741526,-123.004858,,FALSE,FALSE,FALSE,fc6f4bc7db422200b21075131f961906,2017/12/14 09:46:39+00,
-105.008783,37.507116,347771,San Carlos Ranger District-La Veta Work Center,103 E Field Ave,La Veta,81055,CO,,,,,,,,Region 2,Pike-San Isabel National Forests & Cimarron-Comanc,San Carlos Ranger District,USA,37.507116,-105.008783,,FALSE,FALSE,FALSE,B0A27DAE60800341B2652DAAF1A27115,2017/12/14 09:46:39+00,
-116.78171,33.908489,347772,San Jacinto Ranger District-Cabazon Fire Station 50,50382 Irene St,Cabazon,92230,CA,,,,,,,,Region 5,San Bernardino National Forest,San Jacinto Ranger District,USA,33.908489,-116.78171,,FALSE,FALSE,FALSE,e020441bdb822200b21075131f9619e6,2017/12/14 09:46:39+00,
-119.823362,34.511912,347773,Santa Barbara Ranger District-San Marcos Fire Station,5398 E Camino Cielo,Santa Barbara,93105,CA,,,,,,,,Region 5,Los Padres National Forest,Santa Barbara Ranger District,USA,34.511912,-119.823362,,FALSE,FALSE,FALSE,0f37b787db822200b21075131f961945,2017/12/14 09:46:39+00,
-121.245244,40.290152,347774,Almanor Ranger District,900 E Hwy 36,Chester,96020,CA,530-258-2141,,,,,,,Region 5,Lassen National Forest,Almanor Ranger District,USA,40.290152,-121.245244,,FALSE,FALSE,FALSE,748A479D7E72784086B07526E585DBBF,2016/10/28 14:44:16+00,
-70.989508,43.292991,347775,Rochester School District,47 Brock St,Rochester,03867,NH,,,,,,,,,,,,43.292991,-70.989508,,FALSE,FALSE,FALSE,0444fb861b76fd906de587fce54bcbc5,2023/11/30 19:04:12+00,
-121.990764,37.379469,347776,Fujitsu America,1250 E Arques Ave,Sunnyvale,94085,CA,,,,,,,,,,,,37.379469,-121.990764,,FALSE,FALSE,FALSE,0454ff861b76fd906de587fce54bcbf0,2023/11/30 19:04:28+00,
-106.054236,35.589063,347777,Santa Fe National Forest and Interagency Dispatch Center,11 Forest Ln,Santa Fe,87508,NM,505-438-5300,505-438-5391,,,,,,Region 3,Santa Fe National Forest,,USA,35.589063,-106.054236,,FALSE,FALSE,FALSE,8F540EE01DA733428337FD38DD73EB9A,2015/06/18 14:58:31+00,
-112.413593,34.656376,347778,Bradshaw Ranger District-Prescott Fire Center,2400 Melville Rd,Prescott,86301,AZ,928-777-5610,928-777-5609,,,,,,Region 3,Prescott National Forest,Bradshaw Ranger District,USA,34.656376,-112.413593,,FALSE,FALSE,TRUE,9F4B400615D0F54D8F230F8C0A711B25,2015/06/18 14:58:31+00,
-109.287637,34.13088,347779,Apache-Sitgreaves Helibase,165 S Mountain Ave,Springerville,85938,AZ,,,,,,,,Region 3,Apache-Sitgreaves National Forest,,USA,34.13088,-109.287637,,FALSE,FALSE,FALSE,ECA0E66189A6A446A5325D137E442D12,2017/12/14 09:46:31+00,
-106.816962,40.447535,347780,Hahns Peak-Bears Ears Ranger District,925 Weiss Dr,Steamboat Springs,80487,CO,,,,,,,,Region 2,Medicine Bow-Routt National Forests & Thunder Basi,Hahns Peak-Bears Ears Ranger District,USA,40.447535,-106.816962,,FALSE,FALSE,TRUE,FA6CF36EA5A7BF4EA21BCC7DBF9F8AE8,2017/12/14 09:46:34+00,
-123.168329,40.553276,347781,Hayfork Ranger District,111 Trinity St,Hayfork,96041,CA,,,,,,,,Region 5,Shasta-Trinity National Forest,Hayfork Ranger District,USA,40.553276,-123.168329,,FALSE,FALSE,TRUE,51BE95E33651474BBD7FBA88CFB68E9D,2017/12/14 09:46:34+00,
-89.371909,42.61365,347782,School District of Brodhead,2501 W 5th Ave,Brodhead,53520,WI,,,,,,,,,,,,42.61365,-89.371909,,FALSE,FALSE,FALSE,0734bb861b76fd906de587fce54bcbbd,2023/11/30 19:04:08+00,
-77.382135,38.964854,347783,Black Box Network Services,"510 Springs St, Ste 200",Herndon,20170,VA,,,,,,,,,,,,38.964854,-77.382135,,FALSE,FALSE,FALSE,0744bf861b76fd906de587fce54bcb9d,2023/11/30 19:04:24+00,
-106.372053,31.776249,347784,Glacier Technologies LLC Headquarters,"1200 Golden Key Cir, Ste 400",El Paso,79925,TX,,,,,,,,,,,,31.776249,-106.372053,,FALSE,FALSE,FALSE,0744bf861b76fd906de587fce54bcbc4,2023/11/30 19:04:24+00,
-119.05348,36.026916,347785,Porterville Air Attack Base,2125 S Newcomb Ave,Porterville,93257,CA,,,,,,,,Region 5,Sequoia National Forest,,USA,36.026916,-119.05348,,FALSE,FALSE,FALSE,9068D20DF6C34346BCD9DB8D87772E2D,2017/12/14 09:46:38+00,
-106.722734,44.342126,347786,Tyrrell Work Center,1415 Fort St,Buffalo,82834,WY,,,,,,,,Region 2,Bighorn National Forest,Powder River Ranger District,,,,,FALSE,FALSE,FALSE,CCB28F0BF5E4E849B8AA5B334A55910A,2017/12/14 09:46:38+00,
-120.741955,38.739593,347787,PSW-Institute of Forest Genetics-Placerville,2480 Carson Rd,Placerville,95667,CA,,,,,,,,Pacific Southwest Research Station (PSWRS),,,USA,38.739593,-120.741955,,FALSE,FALSE,TRUE,1512A81B35A7CE469203C6DAFF75CF16,2017/12/14 09:46:38+00,
-105.567484,36.702951,347788,Questa Ranger District,184 State Road 38,Questa,87556,NM,,,,,,,,Region 3,Carson National Forest,Questa Ranger District,USA,36.702951,-105.567484,,FALSE,FALSE,TRUE,7509590B8591244A82BED3B1CB99E093,2017/12/14 09:46:38+00,
-105.11614,39.913438,347789,Region 2 Aviation Group,11924 Corporate Way,Broomfield,80021,CO,,,,,,,,Region 2,Arapaho and Roosevelt National Forests and Pawnee ,,USA,39.913438,-105.11614,,FALSE,FALSE,TRUE,D61E13E7B19A3B4987A3FD8166C7AA9B,2017/12/14 09:46:38+00,
-111.804718,40.69175,347790,Safety System Enterprise Unit,3656 Twinbrook St,Salt Lake City,84109,UT,,,,,,,,Region 4,,,USA,40.69175,-111.804718,,FALSE,FALSE,FALSE,55c1ad416f956e00b0f234826e3ee4aa,2017/12/14 09:46:39+00,
-122.849531,41.604921,347791,Salmon River & Scott River Ranger District-Bridge Street WC,320 Bridge St,Fort Jones,96032,CA,,,,,,,,Region 5,Klamath National Forest,Salmon River & Scott River Ranger District,USA,41.604921,-122.849531,,FALSE,FALSE,FALSE,12E80D335690464A97096DF3A7D19BA7,2017/12/14 09:46:39+00,
-117.241528,34.106005,347792,San Bernardino National Forest Air Tanker Base,2065 E Perimeter Rd,San Bernardino,92408,CA,,,,,,,,Region 5,San Bernardino National Forest,,USA,34.106005,-117.241528,,FALSE,FALSE,FALSE,E70BD47425051946967ECB9297068F39,2017/12/14 09:46:39+00,
-116.808829,33.83712,347793,San Jacinto Ranger District Forest-Vista Grande Fire Station 51,19401 Hwy 243,Banning,92220,CA,,,,,,,,Region 5,San Bernardino National Forest,San Jacinto Ranger District,USA,33.83712,-116.808829,,FALSE,FALSE,FALSE,856eabdbdb462200b21075131f96196d,2017/12/14 09:46:39+00,
-119.846251,34.429924,347794,Santa Barbara Ranger District-Air Attack Base & Fire Office,100 Arnold Pl,Goleta,93117,CA,,,,,,,,Region 5,Los Padres National Forest,Santa Barbara Ranger District,USA,34.429924,-119.846251,,FALSE,FALSE,FALSE,39DD28825E5C0A4FA10BEC048F1CA435,2017/12/14 09:46:39+00,
-106.616167,35.055766,347795,Columbia Building,2205 Columbia Dr SE,Albuquerque,87106,NM,,,,,,,,Washington Office,,,USA,35.055766,-106.616167,,FALSE,FALSE,FALSE,05D7E2DF875FA74DBC6ABC86CCC0BBB9,2018/12/10 14:45:56+00,
-111.940698,40.758082,347796,Utah Acquisition Support Center,1749 W 500 S,Salt Lake City,84104,UT,801-908-1901,801-908-1930,,,,,,Region 4,,,USA,40.758082,-111.940698,,FALSE,FALSE,FALSE,7e7fb18a6f3026005771358fae3ee41e,2017/12/27 09:54:54+00,
-97.511804,35.39118,347797,"Batteries Sooner, Inc",7500 S Santa Fe Ave #200,Oklahoma City,73139-8000,OK,,,,,,,,,,,,35.39118,-97.511804,,FALSE,FALSE,FALSE,0844fb861b76fd906de587fce54bcbbe,2023/11/30 19:04:11+00,
-118.385958,33.988496,347798,CC-OPS Inc,"600 Corporate Pointe, Ste 1010",Culver City,90230,CA,,,,,,,,,,,,33.988496,-118.385958,,FALSE,FALSE,FALSE,0854ff861b76fd906de587fce54bcbe9,2023/11/30 19:04:28+00,
-110.932362,32.14577,347799,Tucson Interagency Fire Center,2646 E Commerce Center Pl,Tucson,85706,AZ,520-202-2704,520-807-7065,,,,,,Region 3,Coronado National Forest,,USA,32.14577,-110.932362,,FALSE,FALSE,TRUE,CAB8BCF3DFCDBA4EB611466E98DFEB0E,2015/06/18 14:58:31+00,
-111.663311,33.303886,347800,Phoenix Interagency Fire Center,6335 S Downwind  Ste 101,Mesa,85212,AZ,480-457-1551,480-279-6595,,,,,,Region 3,Tonto National Forest,,USA,33.303886,-111.663311,,FALSE,FALSE,FALSE,63C747B41BA50C439CF6D3B1EBD45682,2015/06/18 14:58:31+00,
,,347801,Alabama Dispatch Center,2946 Chestnut St,Montgomery,36107,AL,334-241-8107,334-241-8126 ,,,,,,Region 8,National Forests In Alabama,,USA,,,,FALSE,FALSE,FALSE,08cf2cfb6f01ea005771358fae3ee467,2016/08/11 18:11:30+00,
-71.282694,42.405794,347802,Raytheon Company,870 Winter St,Waltham,02451,MA,,,,,,,,,,,,42.405794,-71.282694,,FALSE,FALSE,FALSE,09447f861b76fd906de587fce54bcb01,2023/11/30 19:04:16+00,
-118.200065,34.217655,347803,Angeles Crest and Clear Creek Fire Station,Star Route Hwy 2,La Canada Flintridge,91011,CA,,,,,,,,Region 5,Angeles National Forest,,USA,34.217655,-118.200065,,FALSE,FALSE,FALSE,7E81B242A44A854992BBA080AFFB9E4B,2017/12/14 09:46:31+00,
-134.570342,58.399492,347804,Admiralty National Monument and Juneau Ranger District,8510 Mendenhall Loop Rd,Juneau,99801,AK,907-586-8800,907-586-8808,,,,,,Region 10,Tongass National Forest,,USA,58.399492,-134.570342,,FALSE,FALSE,TRUE,EFA0613289E547408F829C7DFAF3D651,2017/12/14 09:46:30+00,
-84.424425,33.795545,347805,Atlanta Communications Headquarters,1510 Huber Street NW,Atlanta,30318,GA,,,,,,,,,,,,33.795545,-84.424425,,FALSE,FALSE,FALSE,0a447f861b76fd906de587fce54bcbc4,2023/11/30 19:04:20+00,
-106.926453,38.546773,347806,Gunnison Ranger District-Gunnison Service Center,108 E Georgia Ave,Gunnison,81230,CO,,,,,,,,Region 2,"Grand Mesa, Uncompahgre & Gunnison National Forest",Gunnison Ranger District,USA,38.546773,-106.926453,,FALSE,FALSE,FALSE,259A64EFE3FC4749AF3460D088DF122A,2017/12/14 09:46:34+00,
-121.514178,40.803657,347807,Hat Creek Work Center-Hat Creek,17696 Hwy 89,Hat Creek,96040,CA,,,,,,,,Region 5,Lassen National Forest,Hat Creek Ranger District,USA,40.803657,-121.514178,,FALSE,FALSE,FALSE,152636866F9FD24BA7B50EE6FEE19E43,2017/12/14 09:46:34+00,
-122.883205,47.82146,347808,Hood Canal Ranger District,295142 Hwy 101 S,Quilcene,98376,WA,,,,,,,,Region 6,Olympic National Forest,Hood Canal Ranger District,USA,47.82146,-122.883205,,FALSE,FALSE,TRUE,CC96709F350CEF408A652FB1BF241EA1,2017/12/14 09:46:34+00,
-118.422876,34.208551,347809,Modular Communication Systems,13309 Saticoy St,North Hollywood,91603,CA,,,,,,,,,,,,34.208551,-118.422876,,FALSE,FALSE,FALSE,0b34bb861b76fd906de587fce54bcb93,2023/11/30 19:04:07+00,
-117.680223,46.485753,347810,Pomeroy Ranger District-Robertson Field,223 Freeburn Rd,Pomeroy,99347,WA,,,,,,,,Region 6,Umatilla National Forest,Pomeroy Ranger District,USA,46.485753,-117.680223,,FALSE,FALSE,FALSE,8af1c027db862200b21075131f9619ce,2017/12/14 09:46:38+00,
-90.796142,37.942239,347811,Potosi-Fredericktown Ranger District,10019 W State Hwy 8,Potosi,63664,MO,,,,,,,,Region 9,Mark Twain National Forest,Potosi-Fredericktown Ranger District,USA,37.942239,-90.796142,,FALSE,FALSE,TRUE,FD70810B5AEB2E4A9336CFA22E4DD746,2017/12/14 09:46:38+00,
-118.713673,44.461656,347812,Prairie City Ranger District,327 SW Front St,Prairie City,97869,OR,,,,,,,,Region 6,Malheur National Forest,Prairie City Ranger District,USA,44.461656,-118.713673,,FALSE,FALSE,TRUE,20D22EDCAC1985488B20B2A5795D73B2,2017/12/14 09:46:38+00,
-117.331845,33.960186,347813,PSW-Forest Fire Laboratory,4955 Canyon Crest Dr,Riverside,92507,CA,,,,,,,,Pacific Southwest Research Station (PSWRS),,,USA,33.960186,-117.331845,,FALSE,FALSE,TRUE,C832817CBD25CA449E9FAC2F2A0116E5,2017/12/14 09:46:38+00,
-119.748112,37.098475,347814,PSW-San Joaquin Experimental Range,24075 Hwy 41,Coarsegold,93614,CA,,,,,,,,Pacific Southwest Research Station (PSWRS),,,USA,37.098475,-119.748112,,FALSE,FALSE,FALSE,197410DF8B33A945A09DA759E477D061,2017/12/14 09:46:38+00,
-83.590285,37.139247,347815,Redbird Ranger District,91 Peabody Rd,Big Creek,40914,KY,,,,,,,,Region 8,Daniel Boone National Forest,Redbird Ranger District,USA,37.139247,-83.590285,,FALSE,FALSE,TRUE,742ABC39A89DE540BA6786375DC6ECDF,2017/12/14 09:46:38+00,
-121.499931,38.577665,347816,Regional Foresters Office-Sacramento,650 Capitol Mall Ste 8-200,Sacramento,95814,CA,,,,,,,,Region 5,,,USA,38.577665,-121.499931,,FALSE,FALSE,FALSE,C72474C0AB611149A6A9046E7CBEE954,2017/12/14 09:46:38+00,
-105.7339,32.957653,347817,Sacramento Ranger District-Admin Office,1400 Burro St,Cloudcroft,88317,NM,,,,,,,,Region 3,Lincoln National Forest,Sacramento Ranger District,USA,32.957653,-105.7339,,FALSE,FALSE,FALSE,52ABF864924B9342A547046A5BA7457F,2017/12/14 09:46:39+00,
-113.880708,45.114717,347818,Salmon Airbase,54 Airport Rd,Salmon,83467,ID,,,,,,,,Region 4,Salmon-Challis National Forest,,USA,45.114717,-113.880708,,FALSE,FALSE,FALSE,6B9676C68EFB9E4DB32CD080545E10D0,2017/12/14 09:46:39+00,
-111.940234,40.758431,347819,Salt Lake Ranger District-Wasatch-Cache Work Center,1729 W 500 S,Salt Lake City,84104,UT,,,,,,,,Region 4,Uinta-Wasatch-Cache National Forest,Salt Lake Ranger District,USA,40.758431,-111.940234,,FALSE,FALSE,TRUE,41A41E6626D4894A8672CBC43709C0BB,2017/12/14 09:46:39+00,
-117.658134,34.236795,347820,San Gabriel River Ranger District-Mt Baldy Visitor Center,Mt Baldy Rd,Mt Baldy,91759,CA,,,,,,,,Region 5,Angeles National Forest,San Gabriel Mountains National Monument,USA,34.236795,-117.658134,,FALSE,FALSE,FALSE,F78E5DFBD4255E42BA13B3249E61AC22,2017/12/14 09:46:39+00,
-91.410408,39.924386,347821,Craig Industries Headquarters,325 Payson Ave,Quincy,62301,IL,,,,,,,,,,,,39.924386,-91.410408,,FALSE,FALSE,FALSE,0c44fb861b76fd906de587fce54bcbb7,2023/11/30 19:04:11+00,
-121.944937,37.483632,347822,Aurostar Corporation,"46560 Fremont Blvd, Unit #201",Fremont,94538,CA,,,,,,,,,,,,37.483632,-121.944937,,FALSE,FALSE,FALSE,0c5433c61b76fd906de587fce54bcb24,2023/11/30 19:04:28+00,
-106.645724,35.081221,347823,Southwest Interagency Coordination Center,333 Broadway Blvd SE,Albuquerque,87102,NM,505-842-3473,505-842-3801,,,,,,Region 3,,,USA,,,,FALSE,FALSE,FALSE,0c7ac5e86fbc8600b0f264826e3ee4c5,2015/06/18 14:58:31+00,
-111.674003,35.186563,347824,Flagstaff Dispatch Center,1824 S Thompson St,Flagstaff,86001,AZ,928-527-3552,928-779-5267,,,,,,Region 3,Coconino National Forest,,USA,35.186563,-111.674003,,FALSE,FALSE,FALSE,0c7ac5e86fbc8600b0f264826e3ee4c6,2015/06/18 14:58:31+00,
-123.37482,41.796386,347825,Happy Camp-Oak Knoll Ranger District,63822 Hwy 96,Happy Camp,96039,CA,530-493-2243,530-493-1796,,,,,,Region 5,Klamath National Forest,Happy Camp-Oak Knoll Ranger District,USA,41.796386,-123.37482,,FALSE,FALSE,TRUE,AE62CF86AD013145B137EABD9A25136F,2016/11/01 14:57:02+00,
-101.36622,35.106929,347826,Claude High School,5th Vine,Claude,79019,TX,,,,,,,,,,,,35.106929,-101.36622,,FALSE,FALSE,FALSE,0d443f861b76fd906de587fce54bcbfa,2023/11/30 19:04:16+00,
-117.848222,34.005784,347827,Clevo Company USA Headquarters,659 Brea Canyon Rd,Walnut,91789,CA,,,,,,,,,,,,34.005784,-117.848222,,FALSE,FALSE,FALSE,0d5433c61b76fd906de587fce54bcbbf,2023/11/30 19:04:32+00,
-106.595009,35.150296,347828,New Mexico Technet Headquarters,5921 Jefferson NE,Albuquerque,87109,NM,,,,,,,,,,,,35.150296,-106.595009,,FALSE,FALSE,FALSE,0d5433c61b76fd906de587fce54bcbe2,2023/11/30 19:04:32+00,
-112.075489,33.681492,347829,Gruber Technical Headquarters,21439 N 2nd Ave,Phoenix,85027,AZ,,,,,,,,,,,,33.681492,-112.075489,,FALSE,FALSE,FALSE,0d5473c61b76fd906de587fce54bcb2c,2023/11/30 19:04:33+00,
-83.127496,34.809855,347830,Andrew Pickens Ranger District,112 Andrew Pickens Cir,Mountain Rest,29664,SC,,,,,,,,Region 8,Francis Marion And Sumter National Forests,Andrew Pickens Ranger District,USA,34.809855,-83.127496,,FALSE,FALSE,TRUE,DE5EF00931743747B0606D9BC179440C,2017/12/14 09:46:31+00,
-71.41463,42.57342,347831,Aspect Software Inc Headquarters,6 Technology Park Dr,Westford,01886-3140,ME,,,,,,,,,,,,42.57342,-71.41463,,FALSE,FALSE,FALSE,0e447f861b76fd906de587fce54bcb9d,2023/11/30 19:04:20+00,
-104.69092,32.203048,347832,Guadaupe Ranger District-Queens Administrative Site,3366 Queen Hwy,Carlsbad,88220,NM,,,,,,,,Region 3,Lincoln National Forest,Guadaupe Ranger District,USA,32.203048,-104.69092,,FALSE,FALSE,FALSE,937286806fd5ea005771358fae3ee46c,2017/12/14 09:46:34+00,
-123.488345,41.378416,347833,Happy Camp-Oak Knoll Ranger District-Seiad Station,44630 Hwy 96,Seiad Valley,96086,CA,,,,,,,,Region 5,Klamath National Forest,Happy Camp-Oak Knoll Ranger District,USA,41.378416,-123.488345,,FALSE,FALSE,FALSE,acaec3c7db422200b21075131f96192d,2017/12/14 09:46:34+00,
,,347834,Louisiana Interagency Coordination Center,2500 Shreveport Hwy,Pineville,71360,LA,318-473-7160,,,,,,,Region 8,Kisatchie National Forest,,USA,,,,FALSE,FALSE,FALSE,0eb157c6dbc40700d3a1ff621f9619fe,2017/07/20 18:37:59+00,
-117.942657,34.002873,347835,CTX Technology Corporation,16728 E Gale Ave,City of Industry,91745,CA,,,,,,,,,,,,34.002873,-117.942657,,FALSE,FALSE,FALSE,0f34bb861b76fd906de587fce54bcbab,2023/11/30 19:04:07+00,
-118.144497,33.807921,347836,"Epson America, Inc. Headquarters",3840 Kilroy Airport Way,Long Beach,90806,CA,,,,,,,,,,,,33.807921,-118.144497,,FALSE,FALSE,FALSE,0f44bf861b76fd906de587fce54bcbf8,2023/11/30 19:04:24+00,
