clust,lat,lon,manual_id,PlotName,years_trapped,max_trap,ID,X,Y,dist_cent
2,46.87374,-116.84499,2285,Hatter Creek,24,32,724,-116.73051791173857,46.84416623771164,9327.762829977146
2,46.82744,-116.7392,2240,2 mi SE of Browns Mdw,38,112,27,-116.73051791173857,46.84416623771164,1973.861735779236
2,46.87343,-116.80089,2282,Turnbow Point,24,79.4,1603,-116.73051791173857,46.84416623771164,6275.388188469623
2,46.79746,-116.77418,2270,Spring Valley Creek W,7,96.6,1447,-116.73051791173857,46.84416623771164,6169.298715921662
2,46.8085,-116.6905,2247,1 mi SW of Stanford Point 1,37,90,7,-116.73051791173857,46.84416623771164,5004.416572628601
2,46.79708,-116.71893,2289,Nora Creek,24,81.4,1114,-116.73051791173857,46.84416623771164,5308.61841431491
2,46.84654,-116.75819,2292,Browns Meadow,24,97.6,273,-116.73051791173857,46.84416623771164,2127.125208323311
2,46.864795,-116.729559,2242,3 mi S of Moon Hill,17,48.6,46,-116.73051791173857,46.84416623771164,2294.4239892226005
2,46.89589,-116.80252,2366,Tom Carter,2,45.2,1588,-116.73051791173857,46.84416623771164,7949.661227664633
2,46.7986,-116.81892,2204,Big Meadow Creek,42,108.6,186,-116.73051791173857,46.84416623771164,8435.993778385464
2,46.88945,-116.68988,2281,East Fork Flat Creek,24,85.8,547,-116.73051791173857,46.84416623771164,5911.2256379876935
2,46.8917,-116.7923,2280,Turnbow Creek,24,70.6,1602,-116.73051791173857,46.84416623771164,7078.963328642281
2,46.85963,-116.68806,2245,3 mi N of Stanford Point,37,89.4,42,-116.73051791173857,46.84416623771164,3666.122111589632
2,46.80513524,-116.7906412,2287,Head of Hatter Creek 1,17,48.2,734,-116.73051791173857,46.84416623771164,6314.544216484117
2,46.90785,-116.72946,2253,Moon Hill,37,71.4,1062,-116.73051791173857,46.84416623771164,7080.082719629295
2,46.79258,-116.75043,2177,Spring Valley Creek,44,61.2,1446,-116.73051791173857,46.84416623771164,5932.610797247264
2,46.81168,-116.64429,2203,Big Bear Creek,42,87,185,-116.73051791173857,46.84416623771164,7505.18809433787
2,46.88717,-116.75944,2241,3 mi SW of Harvard,37,111,47,-116.73051791173857,46.84416623771164,5264.746994845231
2,46.84473,-116.66824,2246,2 mi N of Stanford Point,37,86.2,24,-116.73051791173857,46.84416623771164,4750.751333458184
2,46.81732,-116.79793,2286,Head of Big Meadow Creek,7,82.4,730,-116.73051791173857,46.84416623771164,5946.42474422362
2,46.8086,-116.67886,2249,1 mi S of Stanford Point,37,89.4,5,-116.73051791173857,46.84416623771164,5582.9050213206765
3,47.31549,-117.03332,2354,State Line (Meredith Rd),15,58.8,1473,-116.9929383918686,47.290186075987876,4152.136833228391
3,47.31383,-116.87442,2306,Plummer Butte,6,75.2,1209,-116.9929383918686,47.290186075987876,9340.623783911738
3,47.28984,-116.90461,2355,Lovell Valley Direct Sale,15,69.6,986,-116.9929383918686,47.290186075987876,6681.577117102995
3,47.23303,-117.07519,1037,Tekoa,1,0,1555,-116.9929383918686,47.290186075987876,8895.524398576455
3,47.26686,-117.07809,1335,Tekoa_Mt,3,64.2,1559,-116.9929383918686,47.290186075987876,6944.911182714318
3,47.308351,-116.894425,2307,1.9 mi S of Plummer,17,80,11,-116.9929383918686,47.290186075987876,7719.443406563426
3,47.32753,-117.09245,1347,Gilbert_Mtn,23,78,667,-116.9929383918686,47.290186075987876,8594.115592540631
3,47.27534,-116.88774,2308,Little Plummer Creek,23,115.4,938,-116.9929383918686,47.290186075987876,8128.007639662962
3,47.350945,-116.9594067,2154,Sinkler RD/Rose Creek,12,7.4,1389,-116.9929383918686,47.290186075987876,7214.999438290387
3,47.34476,-116.94089,2210,2 mi W of Plummer,41,80.2,31,-116.9929383918686,47.290186075987876,7231.7227449622405
3,47.31522,-117.04941,1331,Tekoa_Mt_North,23,85.2,1560,-116.9929383918686,47.290186075987876,5097.539823525083
3,47.2668,-117.08722,1425,Tekoa_Johnson_South,1,72.8,1558,-116.9929383918686,47.290186075987876,7592.388829224956
3,47.27768,-117.07315,1426,Tekoa_East,1,94.2,1556,-116.9929383918686,47.290186075987876,6225.428892701827
3,47.26106,-116.94474,2304,Moctileme Butte,6,91.4,1058,-116.9929383918686,47.290186075987876,4877.009115235953
3,47.2633,-116.9723333,2156,Wise Lane,11,17.2,1723,-116.9929383918686,47.290186075987876,3371.2389240865236
3,47.256923,-116.925154,2305,1 mi SW of Moctileme Butte,17,21.4,6,-116.9929383918686,47.290186075987876,6323.185955136808
3,47.26574,-117.08722,1423,Tekoa_Johnson_North,1,41.3,1557,-116.9929383918686,47.290186075987876,7633.614394798404
4,35.21021,-106.434191,548,10K trailhead,1,0,12,-106.41006845060116,35.21076434566647,2197.310289145434
4,35.231174,-106.409861,542,Las_Huertas_Road_#3,7,36,913,-106.41006845060116,35.21076434566647,2264.4202410884263
4,35.216533,-106.416356,524,Capulin_Snow_Play_Area,16,31.6,344,-106.41006845060116,35.21076434566647,858.6834703158949
4,35.214111,-106.408148,520,Balsam_Glade,15,33.8,123,-106.41006845060116,35.21076434566647,410.40759715136926
4,35.199943,-106.406607,517,Dry_Camp,12,36.2,528,-106.41006845060116,35.21076434566647,1241.2538137412096
4,35.193649,-106.405359,516,Tree_Springs_TH,16,38.2,1597,-106.41006845060116,35.21076434566647,1946.676269919664
4,35.226854,-106.409457,534,Las_Huertas_Road_#1,12,41,911,-106.41006845060116,35.21076434566647,1785.9278955846632
4,35.229809,-106.412795,537,Las_Huertas_Road_#2,8,44.6,912,-106.41006845060116,35.21076434566647,2127.433579647093
4,35.215497,-106.422862,529,Nine_Mile_PG,16,18.2,1110,-106.41006845060116,35.21076434566647,1277.7310258911025
4,35.169855,-106.375069,547,La Cienega,1,18,898,-106.41006845060116,35.21076434566647,5546.193263098726
5,48.20015,-120.75899,1565,10_Mile,2,0,13,-120.68294432355026,48.19298006925994,5709.283147094121
5,48.18576,-120.60692,1564,Railroad,2,10.8,1263,-120.68294432355026,48.19298006925994,5709.275972744659
6,49.42575784000001,-120.2633399,4042,11.8 km Old Hedley Rd,14,3.8,14,-120.18667770498607,49.39073566065088,6791.497359003093
6,49.398082890000005,-120.2124703,4044,5.7 km Old Hedley Road,14,20.6,54,-120.18667770498607,49.39073566065088,2042.8869942813205
6,49.38343236,-120.1793171,4043,Pickard Creek Rec Site,14,31.6,1195,-120.18667770498607,49.39073566065088,972.2864258988136
6,49.37495248,-120.1432354,4019,Stemwinder Park,25,49.3,1496,-120.18667770498607,49.39073566065088,3609.848125237342
6,49.37140469999999,-120.1351197,4041,Stemwinder FSR,12,33.7,1495,-120.18667770498607,49.39073566065088,4317.140930009387
7,49.21460311,-119.9312806,4034,12.7 km Ashnola River Road,4,0.2,15,-119.98188819481602,49.26311653353566,6533.8902703531185
7,49.29375075000001,-120.0268301,4038,Hwy 3 Bradshaw Creek,14,36.766666666666666,788,-119.98188819481602,49.26311653353566,4722.413470688747
7,49.27081955,-120.0199325,4036,Hwy 3 Lawrence Ranch,9,30.4,789,-119.98188819481602,49.26311653353566,2898.363637384296
7,49.28001594000001,-119.833134,4032,Olalla,11,40.4,1135,-119.98188819481602,49.26311653353566,10987.253511770838
7,49.21595800000001,-119.9570916,4020,Ashnola River,13,46.7,94,-119.98188819481602,49.26311653353566,5546.844311371512
7,49.18186042999999,-120.0040916,4033,Red Bridge Rec Site,13,10.85,1278,-119.98188819481602,49.26311653353566,9180.421735088321
7,49.30981638,-120.0309125,4039,Hwy 3 Winters Creek,14,27.666666666666668,791,-119.98188819481602,49.26311653353566,6300.4270609412715
7,49.3379503,-120.0520051,4040,Hwy 3 Nickelplate/Apex Road,14,31.433333333333337,790,-119.98188819481602,49.26311653353566,9760.803993559683
8,48.40357,-117.80002,880,12_Mile_Monahan,35,5.4,16,-117.80002,48.40357,0
9,48.4106,-118.7324,1715,21 Mile,1,0,34,-118.78716567591334,48.3974311192354,4311.208315073139
9,48.4526,-118.8821,1743,Deerhorn-Cr,3,30.2,503,-118.78716567591334,48.3974311192354,9327.428646363005
9,48.3799,-118.7506,1718,Anderson Creek,1,0.6,77,-118.78716567591334,48.3974311192354,3336.8280547574436
9,48.41833,-118.65278,657,Seventeen_Mile,38,51.8,1360,-118.78716567591334,48.3974311192354,10217.073767044083
9,48.35922,-118.88789,642,Park_City,43,31.6,1163,-118.78716567591334,48.3974311192354,8586.464382901144
9,48.3603,-118.81198,1619,Bear_Creek,2,6.6,158,-118.78716567591334,48.3974311192354,4519.587463244385
9,48.45014,-118.85997,641,Deerhorn_Cr,39,14,504,-118.78716567591334,48.3974311192354,7961.6564395221
9,48.32667,-118.77639,658,Bear_Creek,38,55.4,157,-118.78716567591334,48.3974311192354,7908.861885413919
9,48.4189,-118.7304,1717,13 Mile,1,0.2,17,-118.78716567591334,48.3974311192354,4833.358679357508
10,48.93158,-119.68649,1402,Chopaka_Road,14,27.8,396,-119.74755907410845,48.886713800145174,6703.382959116058
10,48.90667,-119.83167,315,14_Mile,37,2.2,18,-119.74755907410845,48.886713800145174,6554.417167250284
10,48.84484,-119.71449,902,Toats_1,40,23,1585,-119.74755907410845,48.886713800145174,5250.8160342776955
10,48.89485,-119.70931,1282,Chopaka,24,53.8,395,-119.74755907410845,48.886713800145174,2947.195129015015
10,48.86629,-119.76989,935,Toats_2,29,2.8,1586,-119.74755907410845,48.886713800145174,2800.328409039202
10,48.87599,-119.77349,1354,Toats_3,15,13,1587,-119.74755907410845,48.886713800145174,2244.882103168333
11,46.90522,-121.08755,1602,unknown,1,0,1795,-121.03850918010113,46.90901097716707,3760.0005770126254
11,46.96056,-121.02694,599,Gold_Creek,40,1.8,671,-121.03850918010113,46.90901097716707,5798.003244623443
11,46.86283,-121.08751,1603,unknown,1,0,1796,-121.03850918010113,46.90901097716707,6348.613202474341
11,46.86282,-120.98019,1163,Johnson_Canyon,11,0.8,840,-121.03850918010113,46.90901097716707,6791.591797411189
11,46.96202,-120.9295,1605,unknown,1,0,1798,-121.03850918010113,46.90901097716707,10179.888095493547
11,46.89325,-120.96865,1164,Rock_Creek,27,2,1309,-121.03850918010113,46.90901097716707,5603.955730268718
11,46.87452,-120.94991,1165,Benton_Creek,27,6,174,-121.03850918010113,46.90901097716707,7764.841899244374
11,46.93313,-121.12167,1667,1706-F,2,0,20,-121.03850918010113,46.90901097716707,6878.318650679727
11,46.87735,-121.08753,1669,161,2,0,19,-121.03850918010113,46.90901097716707,5132.660749149744
11,46.96197,-121.01494,1601,unknown,1,0,1794,-121.03850918010113,46.90901097716707,6154.911062957746
11,46.90519,-121.16915,1671,1732_C,2,0,21,-121.03850918010113,46.90901097716707,9962.285762060497
12,47.49,-116.52,2346,Canary Creek,16,12.8,337,-116.60431061636007,47.58255801671896,12091.092859563898
12,47.571993,-116.673035,2261,Pleasant_Creek,2,0.4,1207,-116.60431061636007,47.58255801671896,5302.091096886335
12,47.59137,-116.689205,2162,Coeur_D'Alene_Mtn,2,8.4,414,-116.60431061636007,47.58255801671896,6460.397641574313
12,47.577676,-116.577541,2230,Fortier_Creek,2,2.4,634,-116.60431061636007,47.58255801671896,2085.715303514041
12,47.548727,-116.644101,2229,Red_Horse_Mountain,2,3.2,1281,-116.60431061636007,47.58255801671896,4807.639034473471
12,47.592156,-116.599041,2265,Elk Mountain 604,2,15.4,560,-116.60431061636007,47.58255801671896,1138.3622744400798
12,47.607419,-116.621109,2259,1Mi._Nw_Elk_Mtn.,2,8.4,22,-116.60431061636007,47.58255801671896,3039.1392739762978
12,47.577696,-116.556123,2266,Rose Creek,2,8.2,1317,-116.60431061636007,47.58255801671896,3665.1821668911666
12,47.68121,-116.5817,2345,Marie Creek,16,2.8,1005,-116.60431061636007,47.58255801671896,11099.290528342952
12,47.592167,-116.556157,2231,Killarney_Mountain,2,4.4,871,-116.60431061636007,47.58255801671896,3776.3156674316983
12,47.607865,-116.643867,2161,Elk Mountain 001,8,13.8,559,-116.60431061636007,47.58255801671896,4094.759102815677
12,47.552293,-116.589962,2263,West_Fork_Fortier_Creek,2,3.2,1676,-116.60431061636007,47.58255801671896,3533.8977960676393
13,47.239033,-116.45255,2313,2 mi W of Pettis Point,17,36.6,30,-116.37667448353568,47.19141242766027,7814.304211378443
13,47.23668,-116.41305,2312,Pettis Point,6,71.2,1189,-116.37667448353568,47.19141242766027,5737.60556843978
13,47.173407,-116.418508,2315,Davis Creek,11,26.4,489,-116.37667448353568,47.19141242766027,3749.830886024569
13,47.19534,-116.31847,2316,Renfro Peak,6,44.2,1287,-116.37667448353568,47.19141242766027,4432.362924710113
13,47.14292,-116.30935,2318,Crystal Peak,6,29.4,480,-116.37667448353568,47.19141242766027,7424.234948311365
13,47.174941,-116.36002,2317,Renfro Creek,17,37.8,1286,-116.37667448353568,47.19141242766027,2224.1391193792315
13,47.149903,-116.359831,2319,Crystal Creek,17,9.8,479,-116.37667448353568,47.19141242766027,4788.193161109662
13,47.219,-116.38178,2314,Beaver Mtn,6,55.6,167,-116.37667448353568,47.19141242766027,3091.34043030222
14,45.96454,-121.20871,1313,Highline_Spur_25,3,30,756,-121.16750154493617,45.98072413437734,3665.486317482952
14,45.89095,-121.14449,1316,Summit_Cr_Mp3,1,2.8,1525,-121.16750154493617,45.98072413437734,10136.730841215738
14,45.96449,-121.18787,1268,Klatt_Camp,5,5.6,892,-121.16750154493617,45.98072413437734,2397.483300590264
14,45.9791,-121.22951,1312,Junction_Road,3,20,849,-121.16750154493617,45.98072413437734,4808.507201275159
14,45.87584,-121.08223,1322,Pinegrass_Ridge,1,4.5,1201,-121.16750154493617,45.98072413437734,13403.35657287085
14,45.94928,-121.12493,1176,C_West_Plateau,7,14.4,323,-121.16750154493617,45.98072413437734,4806.664478609725
14,46.02278,-121.22941,1179,C_Camp_7,7,18.8,300,-121.16750154493617,45.98072413437734,6696.880677708212
14,46.00706,-121.12238,1183,C_Wahkacus,7,22.2,322,-121.16750154493617,45.98072413437734,4559.432507141087
14,46.00771,-121.14484,1182,C_East_Wahkacus,7,19.6,308,-121.16750154493617,45.98072413437734,3475.5249547259004
14,46.00775,-121.18806,1185,C_West_Willis,7,12.4,324,-121.16750154493617,45.98072413437734,3400.062595263587
14,45.97888,-121.14621,1175,C_North_Plateau,7,25,316,-121.16750154493617,45.98072413437734,1662.597263115989
14,45.99295,-121.18799,1174,C_Plateau,7,17.4,317,-121.16750154493617,45.98072413437734,2089.676884031128
14,46.00775,-121.18806,1184,C_East_Willis,7,7,309,-121.16750154493617,45.98072413437734,3400.062595263587
14,45.96454,-121.20871,1193,C_Chanel_Rd_236,5,36,306,-121.16750154493617,45.98072413437734,3665.486317482952
14,45.89095,-121.14449,1320,Pole_Creek_Rd,1,16.8,1219,-121.16750154493617,45.98072413437734,10136.730841215738
14,45.89095,-121.14449,1263,Pennington,4,35.2,1186,-121.16750154493617,45.98072413437734,10136.730841215738
14,45.97896,-121.12377,1168,C_Truck_Stop,7,16.4,320,-121.16750154493617,45.98072413437734,3394.4879029725735
14,46.02275,-121.20882,1180,C_Camp_7,5,21.2,301,-121.16750154493617,45.98072413437734,5662.509360953391
14,46.04167,-121.25001,999,Signal Peak,26,3.4,1375,-121.16750154493617,45.98072413437734,9312.537179274652
14,45.87584,-121.08223,1270,Sheep_Canyon,4,3.8,1369,-121.16750154493617,45.98072413437734,13403.35657287085
14,45.89095,-121.14449,1265,Spring_Rd,2,28.2,1450,-121.16750154493617,45.98072413437734,10136.730841215738
14,45.9791,-121.22951,1192,C_Chanel_Rd_235,5,12,305,-121.16750154493617,45.98072413437734,4808.507201275159
14,46.00671,-121.10112,1171,C_Summit_Cr_604,5,15.6,318,-121.16750154493617,45.98072413437734,5898.3169228458255
14,45.89095,-121.14449,1314,203_Rd_4Way_W,2,20.4,32,-121.16750154493617,45.98072413437734,10136.730841215738
14,45.96449,-121.18787,1317,Klose_Butte,1,29.2,895,-121.16750154493617,45.98072413437734,2397.483300590264
14,45.87584,-121.08223,1319,Old_Peavine_Ridge,1,25,1137,-121.16750154493617,45.98072413437734,13403.35657287085
14,45.96449,-121.18787,1321,Peavine_Ridge,1,21,1183,-121.16750154493617,45.98072413437734,2397.483300590264
14,46.02275,-121.20882,1181,C_Camp_7,7,24.4,302,-121.16750154493617,45.98072413437734,5662.509360953391
15,46.35196,-121.21668,667,Jerusalem Camp,34,3.8,832,-121.24263389540499,46.31036852225376,5036.657533749554
15,46.3094,-121.3033,1348,Windy_Point,10,0.8,1720,-121.24263389540499,46.31036852225376,4674.332906475187
15,46.31629,-121.17414,683,Panther_Butte,37,1.2,1157,-121.24263389540499,46.31036852225376,5316.636368192145
15,46.3094,-121.2823,1428,Windy_Point2,3,3.4,1721,-121.24263389540499,46.31036852225376,3057.364977269909
15,46.2802,-121.11538,662,20_Day,43,6.4,33,-121.24263389540499,46.31036852225376,10362.54661554748
15,46.29478,-121.36401,665,Clearwater,43,16.4,407,-121.24263389540499,46.31036852225376,9510.004282194082
16,43.79122,-118.86664,172,King_Mountain,36,113,872,-118.78674726731883,43.78854201936583,6437.342802770061
16,43.79249,-118.70627,1005,Thompson_Spring,35,90.4,1566,-118.78674726731883,43.78854201936583,6492.278246643943
16,43.78186,-118.78733,159,2850_Road,40,99.8,35,-118.78674726731883,43.78854201936583,743.9064709513744
17,34.22071,-116.87581,1454,2N10-Mtn Bike 3,1,0,38,-116.88051829525592,34.20575546366641,1714.6548534860847
17,34.16053,-116.89894,1450,Forest Creek TH,1,4,612,-116.88051829525592,34.20575546366641,5296.310420493722
17,34.2212,-116.87334,1452,2N10-Mtn Bike 1,1,0.3,36,-116.88051829525592,34.20575546366641,1836.4787105379396
17,34.22058,-116.87397,1453,2N10-Mtn Bike 2,1,0.3,37,-116.88051829525592,34.20575546366641,1751.6561523247988
18,46.83805,-116.83865,2173,Long Creek,47,105.4,953,-116.90069975228953,46.82645360009128,4906.393945563649
18,46.81949,-116.94564,2174,Paradise Point,47,91.8,1159,-116.90069975228953,46.82645360009128,3515.538964257627
18,46.80855,-116.85617,2187,Moscow Mtn (115-114),25,90.8,1072,-116.90069975228953,46.82645360009128,3938.2111144716823
18,46.82277,-116.88407,2269,North of Granite Point,24,81.6,1120,-116.90069975228953,46.82645360009128,1333.3636624864857
18,46.81399,-116.89761,2205,East Twin Mountain,42,87.4,551,-116.90069975228953,46.82645360009128,1405.4637284389478
18,46.84872,-116.88963,2284,Rocky Point,24,79.6,1310,-116.90069975228953,46.82645360009128,2615.3884820957514
18,46.798422,-116.902923,2290,Crummaring Creek,24,70.4,475,-116.90069975228953,46.82645360009128,3120.8103180537705
18,46.81247,-116.91909,2186,West Twin (10-115),29,75.4,1675,-116.90069975228953,46.82645360009128,2094.28804717005
18,46.87631,-116.90922,2283,3 Mi S. of Potlatch,24,47.8,39,-116.90069975228953,46.82645360009128,5580.396176908332
18,46.82570878,-116.9639885,2267,Fourmile Creek 1,24,88.6,641,-116.90069975228953,46.82645360009128,4829.795740958974
19,47.333974,-116.773949,2262,3 mi S of Chatcolet,17,4.4,43,-116.75290861889417,47.31107914505861,3001.49357343944
19,47.318069,-116.66707100000001,2264,S of Shay Hill,17,101.75,1327,-116.75290861889417,47.31107914505861,6536.408670594285
19,47.31124,-116.76023,2211,Coon Creek 201,41,97.4,435,-116.75290861889417,47.31107914505861,553.8827195294313
19,47.26373,-116.66129,2213,Benewah Point 1,41,92.4,173,-116.75290861889417,47.31107914505861,8703.17868553633
19,47.24125,-116.70265,2212,3 mi E of Benewah,35,102.2,40,-116.75290861889417,47.31107914505861,8644.663099178024
19,47.3,-116.8131,2351,Coon Creek 908,15,71.6,436,-116.75290861889417,47.31107914505861,4715.468618982339
19,47.3786,-116.7728,2352,Heyburn Park,15,56.4,747,-116.75290861889417,47.31107914505861,7655.808995122259
19,47.28279,-116.80437,2188,S Fk Little Plummer Ck,25,92.4,1326,-116.75290861889417,47.31107914505861,5004.088220655479
19,47.38358,-116.86627,2303,Mason Butte,23,63,1008,-116.75290861889417,47.31107914505861,11761.962006033458
19,47.297383,-116.707655,2350,Blake Draw Creek,12,27.4,215,-116.75290861889417,47.31107914505861,3745.691982547662
20,47.18361,-116.69246,2311,John Point,16,61.6,835,-116.76199816887204,47.16751966665893,5566.691263794357
20,47.12136,-116.72396,2165,Charles Butte,47,84.8,375,-116.76199816887204,47.16751966665893,5887.212163940535
20,47.184915,-116.8805583,2158,E. of Old Tensed Rd,12,4.6,540,-116.76199816887204,47.16751966665893,9193.231330540531
20,47.161315,-116.804857,2191,Squaw Creek 1,41,89.2,1454,-116.76199816887204,47.16751966665893,3322.0623581759683
20,47.24416,-116.83556,2190,Windfall Pass,42,99.6,1718,-116.76199816887204,47.16751966665893,10181.362391267505
20,47.13502,-116.68046,2216,3 mi E of Charles Butte,41,73,41,-116.76199816887204,47.16751966665893,7162.10203638536
20,47.15151,-116.621,2195,Little John Creek,42,78.4,936,-116.76199816887204,47.16751966665893,10838.930551616008
20,47.236992,-116.801659,2189,Benewah,17,51.4,172,-116.76199816887204,47.16751966665893,8287.571062652456
20,47.20614,-116.85218,2163,Lolo Pass 1,47,110.2,950,-116.76199816887204,47.16751966665893,8071.6249986667335
20,47.08938,-116.72055,2180,Fairview Knob,44,105.8,582,-116.76199816887204,47.16751966665893,9238.759982205525
20,47.128029,-116.769153,2193,Moses Mountain 1,42,67.8,1073,-116.76199816887204,47.16751966665893,4423.735388395019
21,46.93791083,-116.765576,2168,East Gold Hill 1,47,83.6,550,-116.80608611270813,46.95163756256995,3441.0785471682093
21,46.96535,-116.846617,2258,3.4 mi NNW of Princeton,17,38.8,49,-116.80608611270813,46.95163756256995,3441.0868246400055
21,46.96535,-116.846617,978,unknown,11,38.8,1748,-116.80608611270813,46.95163756256995,3441.0868246400055
22,48.2704,-118.694,1716,30 Mile,1,0.2,50,-118.65161495979353,48.30645779753009,5095.980425806879
22,48.3425,-118.60917,656,Cody_Lake,37,40.4,413,-118.65161495979353,48.30645779753009,5096.012516145217
23,45.40548,-118.10678,774,Boise_Cascade,5,7,243,-118.13925860900821,45.422324289499684,3157.2300306067923
23,45.34784,-118.16881,791,State-Highway,37,32,1480,-118.13925860900821,45.422324289499684,8595.568073285722
23,45.47843,-118.04543,809,4-H,37,45.6,51,-118.13925860900821,45.422324289499684,9631.048830626965
23,45.42786,-118.16547,488,Drumhill_Ridge,33,23,525,-118.13925860900821,45.422324289499684,2141.6211467420308
23,45.45194,-118.20972,397,Simerson_Spr,34,6.3,1386,-118.13925860900821,45.422324289499684,6421.051704959033
24,45.5243,-116.7651667,1742,NEO-59,3,0.6,1092,-116.73194562818878,45.47853942133528,5710.328523714648
24,45.42833,-116.695,428,Memaloose,20,0.4,1032,-116.73194562818878,45.47853942133528,6284.250053213941
24,45.515,-116.76194,424,Yellowjacket,22,13.6,1743,-116.73194562818878,45.47853942133528,4681.599747928863
24,45.44651,-116.70577,1576,4516,2,0.2,52,-116.73194562818878,45.47853942133528,4106.458907256351
